#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 18:30:46       0      3      0      0      0      0      0 
 18:30:47       0      2      0      0      0      0      0 
 18:30:48       0      3      0      0      0      0      0 
 18:30:49       0      4      0      0      0      0      0 
 18:30:50       0      4      0      0      0      0      0 
 18:30:51       0      3      0      0      0      0      0 
 18:30:52       0      3      0      0      0      0      0 
 18:30:53       0      3      0      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 18:30:54       0      5      0      0      0      0      0 
 18:30:55       0      4      0      0      0      0      0 
 18:30:56       0      3      0      0      0      0      0 
 18:30:57       0      3      0      0      0      0      0 
 18:30:58       0      3      0      0      0      0      0 
 18:30:59       0      3      0      0      0      0      0 
 18:31:00       0      3      0      0      0      0      0 
 18:31:01       0      4      0      0      0      0      0 
 18:31:02       0      4      0      0      0      0      0 
 18:31:03       0      3      0      0      0      0      0 
 18:31:04       0     25      2      0      0      0      0 
 18:31:05       0     25      2      0      0      0      0 
 18:31:06       0      4      0      0      0      0      0 
 18:31:07       0      4      0      0      0      0      0 
 18:31:08       0      2      0      0      0      0      0 
 18:31:09       0      3      0      0      0      0      0 
 18:31:10       0      4      0      0      0      0      0 
 18:31:11       0      4      0      0      0      0      0 
 18:31:12       0      3      0      0      0      0      0 
 18:31:13       0      4      0      0      0      0      0 
 18:31:14       0      3      0      0      0      0      0 
 18:31:15       0      4      0      0      0      0      0 
 18:31:16       0      4      0      0      0      0      0 
 18:31:17       0      3      0      0      0      0      0 
 18:31:18       0      4      0      0      0      0      0 
 18:31:19       0      4      0      0      0      0      0 
 18:31:20       0      2      0      0      0      0      0 
 18:31:21       0      3      0      0      0      0      0 
 18:31:22       0      0      0      0      0      0      0 
 18:31:23       0      3      0      0      0      0      0 
 18:31:24       0      0      0      0      0      0      0 
 18:31:25       0     24      2      0      0      0      0 
 18:31:26       0     25      2      0      0      0      0 
 18:31:27       0     25      2      0      0      0      0 
 18:31:28       0      4      0      0      0      0      0 
 18:31:29       0      3      0      0      0      0      0 
 18:31:30       0      4      0      0      0      0      0 
 18:31:31       0      3      0      0      0      0      0 
 18:31:32       0      2      0      0      0      0      0 
 18:31:33       0      4      0      0      0      0      0 
 18:31:34       0      4      0      0      0      0      0 
 18:31:35       0      4      0      0      0      0      0 
 18:31:36       0      3      0      0      0      0      0 
 18:31:37       0      4      0      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 18:31:38       0      4      0      0      0      0      0 
 18:31:39       0      3      0      0      0      0      0 
 18:31:40       0      3      0      0      0      0      0 
 18:31:41       0      3      0      0      0      0      0 
 18:31:42       0      4      0      0      0      0      0 
 18:31:43       0      0      0      0      0      0      0 
 18:31:44       0      3      0      0      0      0      0 
 18:31:45       0      3      0      0      0      0      0 
 18:31:46       0     25      2      0      0      0      0 
 18:31:47       0     25      2      0      0      0      0 
 18:31:48       0      4      0      0      0      0      0 
 18:31:49       0      3      0      0      0      0      0 
 18:31:50       0      1      0      0      0      0      0 
 18:31:51       0      2      0      0      0      0      0 
 18:31:52       0      3      0      0      0      0      0 
 18:31:53       0      3      0      0      0      0      0 
 18:31:54       0      3      0      0      0      0      0 
 18:31:55       0      4      0      0      0      0      0 
 18:31:56       0      4      0      0      0      0      0 
 18:31:57       0      3      0      0      0      0      0 
 18:31:58       0      3      0      0      0      0      0 
